1745	42081
1745	42184
1745	42149
1745	42189
1745	42150
1745	45024
1745	205128
1745	304214
1745	344567
2166	117599
2166	272873
2166	755838
2166	955734
2226	50685
2226	50773
2226	50921
3056	4020
3056	42189
3056	84137
3056	84083
3056	100909
3056	309118
3056	333371
3056	425330
3056	867499
3056	868178
4020	42151
4020	101456
4020	89870
4020	3056
4020	100909
4020	100700
4020	79289
4020	74718
4020	31380
4020	101463
4020	38971
4020	100907
4020	81029
4469	18077
4469	110456
4469	110470
4469	110687
4469	110688
4469	110620
4469	110622
4469	110763
4469	110625
4469	110766
4469	110697
4469	110769
5861	135861
5861	80946
5861	110271
5861	100569
7100	278197
7100	398823
7485	7549
7485	162840
7485	278674
7485	582208
7485	682210
7549	75464
7549	162748
7549	162830
7549	162840
7549	7485
8078	178556
8078	178665
8078	20586
8078	20497
8078	18077
8078	179916
8276	80618
8276	404418
8276	404409
8276	786774
8979	192065
8979	192245
8979	192151
9692	42189
9692	202236
9692	202290
10713	88207
10713	106219
10713	322246
10713	418729
10713	431012
10713	431772
10713	622795
10713	643132
10713	912586
10713	1003266
10713	1052464
10912	373142
10912	1252023
10913	220577
11885	53604
11885	210325
11885	232631
11885	233568
11885	233483
11885	233559
11885	233654
11885	233608
11885	233655
12307	240203
12307	240205
12307	241352
12307	118087
12307	240206
12307	241404
12307	240204
12307	240215
12725	240540
12725	423987
12725	553803
12725	681866
12725	804820
12725	1003266
13243	255113
13459	110470
13459	131129
13459	252702
13459	253589
13459	426290
14199	265952
14199	229713
14199	265954
14199	265138
14199	265333
14199	265986
14199	265983
14199	225133
14199	265906
14199	229551
14199	265392
14199	266498
14199	266499
14199	266505
14612	179916
14612	488720
14612	489030
15028	277839
15028	278193
15028	277780
15028	278197
15028	277779
15028	153633
15028	277842
15722	584554
15916	42081
15916	179916
15916	198761
15916	230706
15916	338193
15916	366454
15916	464173
15916	509168
15916	528652
16877	42081
16877	178556
16877	182327
16877	198761
16877	265252
16877	366454
16877	426470
16877	433809
16877	699504
16878	286142
16878	335450
16878	866543
16910	292845
16910	40550
16910	292867
16910	276378
16910	288984
16910	292910
16910	70379
16910	72691
16910	292907
16910	292905
16910	114196
17461	88332
17461	88336
17688	17461
17688	88336
17688	250111
17688	301479
17688	249904
17688	301477
17688	57886
17688	301564
17688	301566
17688	301352
17688	88085
17688	249864
17688	249504
17688	300607
17688	164650
17688	44628
18077	4469
18077	8078
18077	304663
18077	304717
18077	251639
18077	304660
18077	304579
18077	124742
18077	20586
18077	304353
18077	230706
18077	304608
18077	20497
18077	178551
18077	282725
18077	299851
18077	303309
18077	205986
18077	15916
18077	305147
18077	182327
18864	202820
18864	279891
18864	311873
18864	311876
18864	311942
18902	81029
18902	310453
18902	310454
18902	147924
18902	310450
18902	310461
18902	310463
18902	221945
19105	315494
19105	315515
19105	315498
19105	315544
19105	88416
19105	234312
19105	36166
19105	315937
19953	88166
19953	250111
19953	301547
19953	250143
19953	303478
19953	88085
19953	84538
19953	320805
19953	320779
19953	321055
20386	20716
20386	916796
20386	1350174
20497	8078
20497	18077
20497	20586
20497	110769
20497	304717
20497	391252
20586	8078
20586	18077
20586	327224
20586	327222
20586	41867
20586	310453
20586	20497
20586	319023
20586	327564
20586	312206
20586	229509
20599	14199
20599	327466
20599	327518
20599	73336
20599	327520
20599	136154
20599	327440
20599	73412
20599	327751
20599	250639
20599	327795
20599	327821
20716	331758
20716	331881
20716	20386
20716	331806
20716	331982
21258	74718
21258	117646
21258	190268
21258	338189
21339	116746
21339	117646
21339	118747
21339	123211
21339	476604
21449	337829
21556	31110
21556	110763
21556	116746
21556	265257
21556	331806
21556	338193
21556	340236
21556	341230
21556	363417
21556	431527
21556	433809
21556	442727
21556	554342
21556	749044
21556	877654
21574	31106
21574	185153
21574	190268
21574	190355
21574	251221
21574	449193
21574	452019
21574	458044
21574	458076
21574	457951
21574	756594
21788	30513
21788	45024
21788	327795
